setup,direction,bias,session,entry,sl,tp,rr,qty,entry_time,entry_tf,exit,exit_time,result,exit_note,_confirm_check_i15,_confirm_level,r_pnl,equity_r
1,short,bearish,ny,7627.25,7637.25,7602.25,1.775,25,2019-04-11 17:40:00,1m,7609.5,2019-04-11 20:00:00,win,EOD_CLOSE,,7619.75,1.7209999999999999,66.00826822057162
1,short,bearish,ny,7699.0,7709.0,7674.0,1.1,25,2019-04-18 19:03:00,1m,7710.0,2019-04-18 20:00:00,loss,EOD_CLOSE,,7704.0,-1.054,64.95426822057162
2,long,bullish,ny,7843.75,7833.75,7868.75,2.5,25,2019-04-25 17:37:00,1m,7833.75,2019-04-25 19:15:00,loss,SL,,7850.0,-1.054,63.90026822057162
1,short,bearish,ny,7795.0,7805.0,7770.0,2.5,25,2019-05-02 16:28:00,1m,7770.0,2019-05-02 16:45:00,win,TP,,7787.5,2.446,66.34626822057162
2,long,bullish,asia,7689.5,7679.5,7714.5,2.5,25,2019-05-06 03:35:00,1m,7679.5,2019-05-06 05:45:00,loss,SL,,7682.25,-1.054,65.29226822057161
2,long,bullish,asia,7751.25,7741.25,7776.25,2.5,25,2019-05-07 08:20:00,1m,7776.25,2019-05-07 08:30:00,win,TP,,7763.5,2.446,67.73826822057161
2,long,bullish,london,7690.0,7680.0,7715.0,1.175,25,2019-05-08 10:46:00,1m,7678.25,2019-05-08 11:00:00,loss,M15_INVALIDATED,33942.0,7682.25,-1.054,66.68426822057161
2,long,bullish,ny,7635.5,7625.5,7660.5,0.575,25,2019-05-08 15:46:00,1m,7641.25,2019-05-08 16:00:00,win,M15_INVALIDATED,33962.0,7645.25,0.5209999999999999,67.20526822057161
2,long,bullish,asia,7572.75,7562.75,7597.75,2.5,25,2019-05-10 05:28:00,1m,7597.75,2019-05-10 05:30:00,win,TP,,7558.5,2.446,69.65126822057161
2,long,bullish,asia,7565.75,7555.75,7590.75,2.5,25,2019-05-10 07:22:00,1m,7590.75,2019-05-10 08:15:00,win,TP,,7558.5,2.446,72.0972682205716
2,long,bullish,london,7606.0,7596.0,7631.0,2.5,25,2019-05-10 09:13:00,1m,7596.0,2019-05-10 09:15:00,loss,SL,,7600.0,-1.054,71.0432682205716
1,short,bearish,london,7465.25,7475.25,7440.25,2.5,25,2019-05-20 12:10:00,1m,7440.25,2019-05-20 12:15:00,win,TP,,7457.0,2.446,73.4892682205716
2,long,bullish,ny,7201.5,7191.5,7226.5,2.5,25,2019-06-05 17:58:00,1m,7191.5,2019-06-05 18:15:00,loss,SL,,7209.0,-1.054,72.4352682205716
2,long,bullish,ny,7218.25,7208.25,7243.25,2.5,25,2019-06-06 16:36:00,1m,7243.25,2019-06-06 17:15:00,win,TP,,7209.25,2.446,74.8812682205716
2,long,bullish,ny,7547.5,7537.5,7572.5,2.5,25,2019-06-11 17:51:00,1m,7537.5,2019-06-11 18:00:00,loss,SL,,7532.25,-1.054,73.8272682205716
2,long,bullish,ny,7527.0,7517.0,7552.0,2.275,25,2019-06-11 19:12:00,1m,7504.25,2019-06-11 19:15:00,loss,M15_INVALIDATED,36197.0,7505.25,-1.054,72.7732682205716
1,short,bearish,ny,7494.0,7504.0,7469.0,2.5,25,2019-06-12 16:08:00,1m,7504.0,2019-06-12 16:15:00,loss,SL,,7505.75,-1.054,71.71926822057159
1,short,bearish,ny,7517.5,7527.5,7492.5,2.5,25,2019-06-12 16:50:00,1m,7492.5,2019-06-12 17:00:00,win,TP,,7505.75,2.446,74.16526822057159
1,short,bearish,ny,7486.0,7496.0,7461.0,2.5,25,2019-06-12 17:36:00,1m,7496.0,2019-06-12 17:45:00,loss,SL,,7505.75,-1.054,73.11126822057159
1,short,bearish,ny,7484.5,7494.5,7459.5,2.375,25,2019-06-12 18:52:00,1m,7508.25,2019-06-12 19:00:00,loss,M15_INVALIDATED,36289.0,7505.75,-1.054,72.05726822057159
1,short,bearish,ny,7531.25,7541.25,7506.25,0.05,25,2019-06-13 17:07:00,1m,7530.75,2019-06-13 17:15:00,win,M15_INVALIDATED,36375.0,7525.0,-0.0040000000000000036,72.05326822057158
1,short,bearish,ny,7539.25,7549.25,7514.25,0.35,25,2019-06-13 18:28:00,1m,7542.75,2019-06-13 20:00:00,loss,EOD_CLOSE,,7533.5,-1.054,70.99926822057158
1,short,bearish,ny,7765.75,7775.75,7740.75,0.55,25,2019-06-24 15:34:00,1m,7760.25,2019-06-24 20:00:00,win,EOD_CLOSE,,7770.75,0.49600000000000005,71.49526822057157
1,short,bearish,ny,7695.0,7705.0,7670.0,2.5,25,2019-06-28 15:37:00,1m,7670.0,2019-06-28 15:45:00,win,TP,,7705.25,2.446,73.94126822057157
2,long,bullish,london,7835.25,7825.25,7860.25,2.5,25,2019-07-10 14:31:00,1m,7860.25,2019-07-10 14:45:00,win,TP,,7841.0,2.446,76.38726822057157
2,long,bullish,ny,7901.75,7891.75,7926.75,2.5,25,2019-07-10 15:32:00,1m,7926.75,2019-07-10 15:45:00,win,TP,,7895.25,2.446,78.83326822057157
2,long,bullish,ny,7936.25,7926.25,7961.25,0.35,25,2019-07-17 17:43:00,1m,7932.75,2019-07-17 20:00:00,loss,EOD_CLOSE,,7941.25,-1.054,77.77926822057157
2,long,bullish,ny,7655.75,7645.75,7680.75,2.5,25,2019-08-08 16:52:00,1m,7680.75,2019-08-08 17:30:00,win,TP,,7650.25,2.446,80.22526822057156
1,short,bearish,ny,7744.0,7754.0,7719.0,2.5,25,2019-08-13 17:16:00,1m,7719.0,2019-08-13 17:30:00,win,TP,,7738.5,2.446,82.67126822057156
2,long,bullish,london,7729.25,7719.25,7754.25,2.5,25,2019-08-14 10:01:00,1m,7719.25,2019-08-14 10:30:00,loss,SL,,7723.25,-1.054,81.61726822057156
2,long,bullish,london,7528.0,7518.0,7553.0,0.8,25,2019-08-15 14:01:00,1m,7520.0,2019-08-15 14:15:00,loss,M15_INVALIDATED,40528.0,7534.75,-1.054,80.56326822057156
1,short,bearish,london,7760.5,7770.5,7735.5,2.5,25,2019-08-22 15:09:00,1m,7770.5,2019-08-22 15:30:00,loss,SL,,7765.75,-1.054,79.50926822057156
2,long,bullish,ny,7703.5,7693.5,7728.5,1.575,25,2019-08-23 16:37:00,1m,7719.25,2019-08-23 16:45:00,win,M15_INVALIDATED,41097.0,7720.0,1.521,81.03026822057156
1,short,bearish,london,7588.5,7598.5,7563.5,2.5,25,2019-08-28 09:01:00,1m,7563.5,2019-08-28 09:15:00,win,TP,,7582.25,2.446,83.47626822057155
1,short,bearish,asia,7644.25,7654.25,7619.25,2.5,25,2019-09-03 08:43:00,1m,7619.25,2019-09-03 08:45:00,win,TP,,7651.25,2.446,85.92226822057155
2,long,bullish,ny,7879.75,7869.75,7904.75,2.5,25,2019-09-09 16:10:00,1m,7869.75,2019-09-09 16:15:00,loss,SL,,7866.0,-1.054,84.86826822057155
1,short,bearish,asia,7826.0,7836.0,7801.0,2.5,25,2019-09-10 06:10:00,1m,7836.0,2019-09-10 06:30:00,loss,SL,,7839.75,-1.054,83.81426822057155
2,long,bullish,asia,7831.75,7821.75,7856.75,0.25,25,2019-09-11 07:16:00,1m,7834.25,2019-09-11 07:30:00,win,M15_INVALIDATED,42254.0,7838.75,0.196,84.01026822057155
